"postcode","lat","lon"
"4500",-27.3137627571681,152.981263107015
"2113",-33.7925130242248,151.126867921555
"4814",-19.3028330412935,146.751780623537
"2093",-33.7915116714286,151.261056984381
"4075",-27.5428294547725,152.978979534508
"2620",-35.5951781,149.2095943938
"2620",-35.3429700515625,149.225395199541
"2200",-33.9179312734903,151.030705594586
"4151",-27.4998219049592,153.061915174284
"4573",-26.492217545122,153.091382807139
"3216",-38.1800909541592,144.335073359887
"2032",-33.9241993975731,151.230666532263
"2232",-34.0297099230114,151.060846702591
"4053",-27.4003306967121,152.992586381134
"2500",-34.4238216364706,150.891130829669
"4051",-27.4260955404581,153.00350286664
"2222",-33.966316355,151.090115736633
"2190",-33.900851,151.055369964887
"2161",-33.8561219847812,150.984468580003
"2783",-33.7262383926829,150.42585187112
"4744",-21.99767945,148.044470552312
"4703",-23.0997791340909,150.735065533063
"4817",-19.3128572,146.7435353
"2640",-36.0851089216229,146.920094129877
"4000",-27.461692652439,153.021714281558
"4171",-27.4558730336941,153.061180881731
"3056",-37.7683588895939,144.959634256961
"2280",-33.0243177092593,151.659302936277
"2470",-28.8432360670213,152.985959790751
"4122",-27.5428297870176,153.090436598411
"2017",-33.9054628051749,151.206478836204
"3190",-37.9531330299204,145.037148480753
"3280",-38.3800179961923,142.518440667843
"2160",-33.8323377604938,150.979639719442
"2756",-33.5693960169725,150.820019754339
"3149",-37.8829279917409,145.136752005058
"2024",-33.9027140636364,151.258168408677
"2761",-33.7264995207921,150.850872287758
"3027",-37.8553629423423,144.736118913262
"2034",-33.9066714598765,151.259946134591
"4852",-17.867864125,146.103046
"4305",-27.6149785314002,152.753023296701
"3741",-36.8024451833333,147.012824299256
"2067",-33.7964236264564,151.179541043192
"4017",-27.316013246057,153.048558541819
"3805",-38.0088106818203,145.30570128213
"3166",-37.9073283524229,145.101256192327
"2226",-34.0129303759705,151.060465806761
"2750",-33.7549817482385,150.678150439569
"3196",-38.0381207411622,145.114420620845
"3156",-37.888409615614,145.267458743136
"2257",-33.5108809817708,151.311444560459
"2763",-33.7286524113636,150.898138975756
"2072",-33.75409981,151.153230549978
"4504",-27.2046779557756,152.968318192011
"4214",-27.9695690154362,153.369461589082
"2168",-33.9135284625,150.877696297317
"4208",-27.7784524369792,153.256033487333
"4078",-27.6198095526686,152.961094835904
"4036",-27.3203164435606,153.010340557484
"4173",-27.4753435033083,153.131824419483
"2484",-28.3497036439516,153.373785970948
"2121",-33.7710730982759,151.079969860376
"4068",-27.5011992097897,152.976311440048
"2147",-33.7642819068182,150.93531962252
"2219",-33.9956343769231,151.139989165442
"2759",-33.7992847606085,150.79264970355
"3030",-37.8932562855869,144.703941958861
"2212",-33.94952798,151.014887240006
"2518",-34.3788382768851,150.904914289718
"2097",-33.7338013187423,151.294677231279
"2046",-33.8642599909091,151.127724375401
"2576",-34.4766673545957,150.435502341432
"2026",-33.890394873125,151.268282356468
"2035",-33.9416932640056,151.237771392207
"2479",-28.7091043571891,153.498102466017
"4670",-24.8848942022738,152.427910754162
"2125",-33.7554589357143,151.037747338288
"2015",-33.9096310401534,151.199682722047
"4037",-27.3363895,152.960335115124
"2138",-33.8379830157895,151.087897692914
"3350",-37.5514123740556,143.830720560314
"3173",-37.9891011783641,145.174524692491
"4118",-27.6623639442857,153.018341358523
"2390",-30.2740999521428,149.752790141922
"3919",-38.3718911142857,145.218618801933
"3047",-37.6820204342416,144.926776553475
"4116",-27.626488636939,153.052149144106
"2230",-34.0610239921569,151.148743303068
"3153",-37.8376997934524,145.266395778708
"2340",-31.1317849526171,150.931990112746
"3802",-37.9762115054622,145.247214695196
"4207",-27.7299240994603,153.191237398608
"2223",-33.9747824461539,151.07431603984
"2546",-36.2589551359391,150.087856652334
"2089",-34.148683082405,150.898188888902
"3094",-37.7190599742759,145.124990952366
"4510",-27.0792961882794,152.98168858818
"2287",-32.8938571483333,151.659698994653
"2145",-33.8133842931533,150.955551059031
"2209",-33.9474622844594,151.067276854035
"4306",-27.5407665098457,152.809663510874
"3500",-34.1907804168675,142.153340423591
"3818",-38.1377758071429,145.858582968361
"2835",-31.5734601482759,145.512739489025
"4405",-27.1802990708333,151.256162172254
"2560",-34.0862672238874,150.809804183538
"2650",-35.1303987188179,147.287771357235
"3240",-38.2702572928571,144.146918998206
"4011",-27.4196536239902,153.060396358991
"2173",-33.9751138583333,150.944667635298
"2114",-33.8147045123188,151.088991853473
"4509",-27.2142446550058,153.025277069909
"2284",-32.9616206368421,151.616332566433
"2380",-32.053181855,149.058700248913
"3081",-37.73586718875,145.049634753248
"3765",-37.812676625,145.33490318604
"2176",-33.8727681204545,150.892585208625
"4217",-28.0032955533294,153.413825747227
"2164",-33.8468029571429,150.911804400444
"2218",-33.9679223269231,151.120587896078
"2153",-33.7534401900469,150.998019385312
"3977",-38.0955446155503,145.266612213336
"2540",-34.990110640625,150.606481117505
"4570",-26.1322022261905,152.340541166673
"2324",-32.7319085934959,151.838937619334
"2016",-33.8931694811881,151.203514776826
"3201",-38.097174385,145.180062152295
"4350",-27.5667387088414,151.936658063843
"2170",-33.9264704636,150.912612024628
"3934",-38.2608064527778,145.039308800736
"2564",-34.0057290508475,150.892500053854
"2068",-33.79891372,151.201169683081
"3109",-37.7803252147773,145.165197322728
"2326",-32.80204927,151.450005375474
"2073",-33.7477267029412,151.13706493915
"2227",-34.0398276692308,151.086412825937
"2471",-29.0049240433333,153.250944952385
"3752",-37.6216602039324,145.070314484389
"2205",-33.931405620134,151.142891775701
"2126",-33.724037725,151.041793144464
"3850",-38.1071402681818,147.065468746622
"3038",-37.7041748325203,144.793824809165
"2146",-33.7908757714286,150.959088629153
"3122",-37.8243042346516,145.033006023153
"2066",-33.8096297036232,151.167748895846
"2120",-33.7290704166667,151.076926770129
"4179",-27.4643671491637,153.17358786333
"2148",-33.7746678359649,150.902494340217
"4352",-27.4879788431034,151.996060860696
"2177",-33.89191146875,150.883923457206
"2454",-30.4560220511013,152.904856556978
"3806",-38.0362726072078,145.339344408016
"3032",-37.7733902148649,144.912399999333
"2228",-34.0358302764706,151.103886813544
"4060",-27.4427596335901,152.986416494925
"2766",-33.7892942533333,150.846519931779
"2117",-33.797093772973,151.04006832158
"2250",-33.4177301953368,151.32933541699
"3195",-38.0126813861348,145.104881110735
"3687",-36.0073577764706,146.407451767645
"4109",-27.5829092913359,153.058047408769
"2210",-33.9503356200758,151.0572469449
"2448",-30.6056261915385,153.001557378774
"2300",-32.9276706087302,151.774806980698
"4605",-26.24087616,151.945756962604
"2429",-31.8226498728261,152.314811471878
"4018",-27.3421552834026,153.038452667479
"2144",-33.8542065117647,151.026729220519
"4710",-23.27820005,150.802845382312
"3021",-37.7405577986842,144.798495838179
"2165",-33.8678372055556,150.946312877284
"4211",-28.0244485640352,153.274217931672
"2444",-31.4509541614951,152.885612911651
"4285",-28.0025606200138,152.996413037437
"2203",-33.9055664563725,151.139031192235
"2446",-31.4291996215517,152.594507089041
"4115",-27.6257711400899,153.031703264423
"2099",-33.7485063201475,151.28461830512
"2430",-31.9304251664557,152.505624541143
"2007",-33.8800245432948,151.197534656656
"2011",-33.872475036036,151.224430508018
"3429",-37.5927080654145,144.734417990105
"2281",-33.1024223785714,151.634306712809
"2224",-34.018222725,151.104102963188
"4307",-27.812224875,152.664960944218
"4105",-27.5324505225307,153.021594981326
"3170",-37.9228019200139,145.178745032001
"4065",-27.4599604109942,152.981577297882
"3004",-37.8397238401709,144.975415088188
"3004",-37.837281,144.972709673807
"4556",-26.6739260196765,153.073408089854
"4006",-27.449879339197,153.033326356992
"3134",-37.8117776736921,145.226505008097
"4680",-23.8743616347572,151.258076945687
"4506",-27.11822125,152.943224096242
